"","YEAR_","FIRE_NAME","ALARM_DATE","CONT_DATE","CAUSE","area_burned_km2","DATE","month"
"1149",1952,"SWISS",19521004,0,14,5.50580503991,1952-10-03 16:00:00,"10"
"1150",1957,"OLD GULCH",19570803,0,14,3.53670964975,1957-08-02 17:00:00,"08"
"1151",1957,"RED MTN. BAR R.I.ESC",19570810,0,14,2.26020140001,1957-08-09 17:00:00,"08"
"1152",1957,"CONLEY CREEK",19570623,0,14,0.887009732654,1957-06-22 17:00:00,"06"
"1153",1957,"KING GEORGE",19570627,0,14,1.83518047993,1957-06-26 17:00:00,"06"
"1154",1966,"JOHN NOYER CANYON",19660504,0,9,3.19237717808,1966-05-03 17:00:00,"05"
"1155",1968," ",19680000,0,9,0.0187985490881,NA,"00"
"1156",1968," ",19680000,0,9,0.0165801755651,NA,"00"
"1157",1968," ",19680000,0,9,0.211477403933,NA,"00"
"1158",1968," ",19680000,0,9,3.07005848527,NA,"00"
"1159",1968," ",19680000,0,9,0.048195427017,NA,"00"
"1160",1968," ",19680000,0,9,0.113685166599,NA,"00"
"1161",1968,"WAWONA DOME",19680000,0,1,0.132003617848,NA,"00"
"1162",1968,"HASLETT",19680810,0,9,1.47602593516,1968-08-09 17:00:00,"08"
"1163",1952,"ARBURUA #3",19520831,0,14,2.25469984334,1952-08-30 17:00:00,"08"
"1164",1952,"EAST BASALT",19520521,0,14,1.9421327722,1952-05-20 17:00:00,"05"
"1165",1952,"FRAZIER VALLEY",19520702,0,14,1.68355027332,1952-07-01 17:00:00,"07"
"1166",1952,"GRANT",19520716,0,14,1.71776963066,1952-07-15 17:00:00,"07"
"1167",1952,"STRATHEARN",19520605,0,14,6.08748639677,1952-06-04 17:00:00,"06"
"1168",1957,"CLINTON TRAIL",19570815,0,14,2.69607621561,1957-08-14 17:00:00,"08"
"1169",1957,"DON PEDERO BAR",19570908,0,14,4.51589628516,1957-09-07 17:00:00,"09"
"1170",1975,"SITE 300",19750531,0,14,4.27839017077,1975-05-30 17:00:00,"05"
"1171",1952," ",19520000,0,1,0.465144485992,NA,"00"
"1172",1952," ",19520000,0,9,0.80803177283,NA,"00"
"1173",1952," ",19520000,0,9,0.0196273021036,NA,"00"
"1174",1952," ",19520000,0,1,0.053523947461,NA,"00"
"1175",1952," ",19520000,0,1,0.0398433779092,NA,"00"
"1176",1952," ",19520000,0,9,0.0228437867533,NA,"00"
"1177",1952," ",19520000,0,9,0.42661925523,NA,"00"
"1178",1972," ",19720428,19720502,5,0.156014571306,1972-04-27 16:00:00,"04"
"1179",1972," ",19720611,19720614,4,1.06206545664,1972-06-10 17:00:00,"06"
"1180",1974,"FRANK TWISSLEMAN",19740502,0,14,1.28715014224,1974-05-01 17:00:00,"05"
"1181",1917," ",19170000,0,14,40.7036226362,NA,"00"
"1182",1962,"PINCUSHION",19620926,0,14,2.31457507779,1962-09-25 17:00:00,"09"
"1183",1962,"PITTMAN HILL",19620701,0,14,1.27444269097,1962-06-30 17:00:00,"07"
"1184",1970,"PEACHTREE",19700704,19700706,3,0.291149409714,1970-07-03 17:00:00,"07"
"1185",1970,"WATT",19700926,19700927,3,0.334898242371,1970-09-25 17:00:00,"09"
"1186",1970,"HUME",19700624,19700625,7,0.725569485623,1970-06-23 17:00:00,"06"
"1187",1996,"INDIAN",19960804,19960804,7,0.0322768486214,1996-08-03 17:00:00,"08"
