year,month,basinmavg,6019,6029,6031,6047,6077,6099,6107,6039,area_burned_km2,decyear
2009,9,10.66326531,10.00333333,12.83793103,11.02,10.1,7.58,8.377777778,11.58,10.05166667,2.31499578,2009.75
2009,10,14.2159292,11.91666667,22.51071429,15.94545455,8.872727273,7.909090909,8.263636364,15.24545455,10.39469697,1.005565866,2009.833333
2009,11,24.92980769,24.79333333,29.48928571,28.8,22.26,17.4125,18.25555556,23.78,23.52666667,0,2009.916667
2009,12,32.93148148,34.64193548,41.80967742,27.34444444,29.9625,23.62222222,24.82,24,32.30221774,0,2010
2010,1,21.76542056,22.88387097,23.74074074,18.24,21.51111111,19.81,22.34,18.1,22.19749104,0,2010.083333
2010,2,17.224,17.30714286,20.444,16.04,16.41111111,11.45555556,16.41111111,16.78,16.85912699,0,2010.166667
2010,3,9.298113208,9.348387097,9.606896552,9.488888889,9.677777778,6.45,8.1,11.21,9.513082438,0,2010.25
2010,4,9.234042553,7.086666667,14.92083333,9.5,7.32,5.42,7.19,8.71,7.203333334,0,2010.333333
2010,5,6.535,6.06,8.22,6.04,5.02,4.66,5.16,7.16,5.54,1.908806024,2010.416667
2010,6,7.290909091,5.952380952,9.665517241,6,4.725,4.833333333,6.33,8.06,5.338690476,17.40248999,2010.5
2010,7,11.94137931,9.958064516,15.04333333,9.7,8.516666667,9.366666667,9.366666667,12.86363636,9.237365592,123.7791281,2010.583333
2010,8,8.849350649,8.442857143,9.260714286,9.28,6.74,9.15,9.15,9.7,7.591428572,21.38922462,2010.666667
2010,9,11.59871795,11.54,12.06153846,11.18,8.5,7.866666667,7.866666667,13.65555556,10.02,39.27072313,2010.75
2010,10,11.7494382,11.29310345,12.83870968,12.71111111,8.075,6.5,6.5,12.82,9.684051725,1.36494783,2010.833333
2010,11,23.64615385,25.4,24.14666667,26.13333333,16.38888889,21.86666667,21.86666667,21.71,20.89444445,0,2010.916667
2010,12,25.49390244,24.01034483,29.892,32.8,20.14,21.45,21.45,21.69090909,22.07517242,0,2011
2011,1,26.63214286,27.52580645,27.46129032,26.77564516,24.02222222,18.46666667,18.46666667,26.09,25.77401434,0,2011.083333
2011,2,14.92428571,16.24285714,13.90833333,15.56130952,14.15555556,4.1,4.1,17.21428571,15.19920635,0,2011.166667
2011,3,8.216049383,7.203225806,9.484615385,9.867307693,6.845454545,5.933333333,5.933333333,10.25,7.024340176,0,2011.25
2011,4,6.680882353,5.876923077,7.15,7.386111111,7.24,5.4,5.4,7.622222222,6.558461539,0.058230252,2011.333333
2011,5,7.369230769,6.610344828,9.215789474,8.602339182,5.28,4.633333333,4.633333333,7.988888889,5.945172414,6.833481684,2011.416667
2011,6,9.840277778,7.410344828,13.65,10.6,7.24,7.4,7.4,7.55,7.325172414,42.27065617,2011.5
2011,7,9.429411765,9.1,10.37727273,10.23863637,7.38,7.066666667,7.066666667,10.1,8.24,102.3660179,2011.583333
2011,8,9.301298701,8.229032258,10.89285714,10.53642857,6.42,7.4,7.4,10.18,7.324516129,28.88632397,2011.666667
2011,9,12.14,11.69666667,13.51304348,13.32152174,7.82,8.85,8.85,13.13,9.758333335,399.8606079,2011.75
2011,10,15.62467532,17.14666667,15.81481481,16.65240741,6.4,14,14,17.49,11.77333334,0.297798287,2011.833333
2011,11,19.31621622,20.45357143,20.6,21.34,8.188888889,26.6,26.6,22.08,14.32123016,0.160056678,2011.916667
2011,12,46.12763158,52.23793103,49.81666667,46.38833334,23.04,45.06666667,45.06666667,42.96,37.63896552,4.867298007,2012
