FID_,YEAR_,STATE,UNIT_ID,FIRE_NUM,FIRE_NAME,AGENCY,ALARM_DATE,CONT_DATE,C_METHOD,CAUSE,INC_NUM,OBJECTIVE,COMMENTS,REPORT_AC,GIS_ACRES,Shape_Leng,Shape_Area
,1939,CA,SQF,3, ,USF,19390000,0,0,1,0,1, ,0,11.5003996,926.8925107,46540.57739
,1939,CA,SQF,71, ,USF,19390000,0,0,1,0,1, ,0,281.1799927,6815.321432,1137893.022
,1939,CA,SQF,36, ,USF,19390000,0,0,1,0,1, ,0,18.2908993,1083.360321,74020.71773
,1939,CA,SQF,156, ,USF,19390000,0,0,1,0,1, ,0,10.5574999,787.0402013,42724.5109
,1970,CA,ANF,0, ,USF,19700926,0,0,14,0,1, ,0,501.8200073,10638.11146,2030795.481
,1970,CA,KRN,352,BEAR MOUNTAIN #1,CCO,19700728,0,0,14,1864,1, ,0,1609.699951,9915.772643,6514229.02
,2001,CA,AEU,348,CLAY,CDF,20010731,0,0,7,11228,1, ,0,525.5939941,7863.789121,2127002.448
,1971,CA,SQF,242, ,USF,19710000,0,0,9,0,1, ,0,22.2000999,1127.919865,89840.48969
,1971,CA,SQF,144,WIND,USF,19711126,19711127,8,5,0,1, ,10,9.6365004,774.0169855,38997.51946
,1971,CA,SQF,2,LANDERS,USF,19710410,19710410,8,4,0,1, ,24,78.5086975,2288.301319,317713.5342
,1971,CA,SQF,65,UNKNOWN,USF,19710916,0,0,14,0,1, ,153.57,379.4899902,6901.098186,1535740.283
,2001,CA,SNF,55,MUSIC,USF,20010817,20010821,8,12,55,1, ,300,210.0659943,4648.07941,850105.5941
,1978,CA,YNP,71, ,NPS,19780000,0,0,1,0,1, ,0,25.2644997,1170.159247,102241.679
,1978,CA,YNP,75, ,NPS,19780000,0,0,1,0,1, ,0,13.4320002,854.9512778,54357.51647
,1956,CA,SQF,11, ,USF,19560000,0,0,1,0,1, ,0,10.8701,974.7128218,43989.80492
,1956,CA,SQF,36, ,USF,19560000,0,0,9,0,1, ,0,17.2206993,1227.139734,69689.61887
,1956,CA,SQF,138, ,USF,19560000,0,0,1,0,1, ,0,9.6250601,887.5933565,38951.21568
,1956,CA,SQF,119, ,USF,19560000,0,0,9,0,1, ,0,166.8959961,3747.541557,675403.6732
,1956,CA,MMU,0,CASACCIA #6,CDF,19560300,0,0,14,0,1, ,0,380.7319946,5302.355011,1540767.954
,1961,CA,AEU,72,RANCHERIA,CDF,19610902,0,0,14,0,1, ,0,34104.39844,74588.00903,138015714.2
,1961,CA,SCU,11,S.P.R.R. #3,CDF,19610812,0,0,14,0,1, ,0,346.5140076,6463.77828,1402293.118
,1966,CA,KRN,126,ORCHARD PEAK,CCO,19660520,0,0,14,0,1, ,0,15484.90039,72456.83924,62665323.69
,1988,CA,INF,5206, ,USF,19880000,0,0,1,0,1, ,0,10.3889999,859.495167,42042.84079
,1974,CA,KRN,231,SHELL OIL CO.,CCO,19740527,0,0,14,1341,1, ,0,1103.5,9396.268693,4465722.724
